date,reported,genomic
1/4/22,3287.035714,0.000181182
1/5/22,3217.803829,0.000174562
1/6/22,3148.571944,0.000169876
1/7/22,3082.877038,0.000165347
1/8/22,3018.37465,0.000160818
1/9/22,2953.872263,0.000156289
1/10/22,2891.222054,0.00015176
1/11/22,2831.128116,0.000147231
1/12/22,2771.034178,0.000142702
1/13/22,2711.32003,0.000138173
1/14/22,2655.33501,0.000133644
1/15/22,2599.349991,0.000129116
1/16/22,2543.364972,0.000124587
1/17/22,2490.308447,0.000120058
1/18/22,2438.152936,0.000115529
1/19/22,2385.997425,0.000111
1/20/22,2335.401542,0.000106471
1/21/22,2286.814925,0.000101942
1/22/22,2238.228309,9.81E-05
1/23/22,2190.017691,9.45E-05
1/24/22,2144.871341,9.10E-05
1/25/22,2099.72499,8.75E-05
1/26/22,2054.578639,8.40E-05
1/27/22,2011.221379,8.04E-05
1/28/22,1969.381471,7.69E-05
1/29/22,1927.541564,7.34E-05
1/30/22,1885.701656,6.99E-05
1/31/22,1846.843918,6.64E-05
2/1/22,1808.069278,6.28E-05
2/2/22,1769.294637,5.93E-05
2/3/22,1731.669939,5.58E-05
2/4/22,1695.736843,5.23E-05
2/5/22,1659.803748,4.87E-05
2/6/22,1623.870652,4.52E-05
2/7/22,1590.140896,4.24E-05
2/8/22,1556.841837,4.07E-05
2/9/22,1523.542779,3.90E-05
2/10/22,1490.898759,3.73E-05
2/11/22,1460.041272,3.57E-05
2/12/22,1429.183785,3.40E-05
2/13/22,1398.326297,3.23E-05
2/14/22,1369.053154,3.06E-05
2/15/22,1340.458744,2.89E-05
2/16/22,1311.864334,2.73E-05
2/17/22,1283.557258,2.56E-05
2/18/22,1257.141556,2.39E-05
2/19/22,1230.725855,2.22E-05
2/20/22,1204.310153,2.06E-05
2/21/22,1178.464025,1.89E-05
2/22/22,1154.138207,1.72E-05
2/23/22,1129.812389,1.56E-05
2/24/22,1105.486571,1.54E-05
2/25/22,1081.956121,1.52E-05
2/26/22,1059.555226,1.50E-05
2/27/22,1037.15433,1.48E-05
2/28/22,1014.753435,1.46E-05
3/1/22,993.3344797,1.43E-05
3/2/22,972.7065178,1.41E-05
3/3/22,952.0785558,1.39E-05
3/4/22,931.4505938,1.37E-05
3/5/22,911.9566805,1.35E-05
3/6/22,892.9616035,1.33E-05
3/7/22,873.9665264,1.30E-05
3/8/22,854.9714493,1.28E-05
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
